Luwu Utara,68.31,68.51
Luwu Timur,70.38,70.53
Toraja Utara,73.35,73.39
Kota Makasar,72,72.09
Kota Parepare,71.18,71.27
Kota Palopo,70.79,70.88
SULAWESI TENGGARA,70.97,71.22
Buton,67.92,68.25
Muna,70.18,70.39
Konawe,70.02,70.27
Kolaka,70.72,71.06
Konawe Selatan,70.52,70.8
Bombana,68.54,68.91
Wakatobi,70.13,70.41
Kolaka Utara,70.15,70.36
Buton Utara,70.75,70.93
Konawe Utara,69.23,69.51
Kolaka Timur,72.33,72.67
Konawe Kepulauan,68.25,68.43
Muna Barat,70.16,70.34
Buton Tengah,67.5,67.66
Buton Selatan,67.5,67.66
Kota Kendari,73.52,73.77
Kota Baubau,70.95,71.19
GORONTALO,67.93,68.07
Boalemo,68.83,69.07
Gorontalo,67.45,67.58
Pohuwato,63.83,64.07
Bone Bolango,68.38,68.46
Gorontalo Utara,65.79,65.87
Kota Gorontalo,72.42,72.49
SULAWESI BARAT,64.82,65.06
Majene,61.3,61.56
Polewali Mandar,62.18,62.38
Mamasa,70.75,70.87
Mamuju,67.23,67.52
Mamuju Utara / Pasangkayu,65.91,66.2
Mamuju Tengah,68.06,68.33
MALUKU,65.82,65.98
Maluku Tenggara Barat / Kepulauan Tanimbar,63.34,63.42
Maluku Tenggara,64.95,65.07
Maluku Tengah,66.34,66.42
Buru,66.32,66.41
Kepulauan Aru,62.73,62.87
Seram Bagian Barat,61.48,61.69
Seram Bagian Timur,59.16,59.41
Maluku Barat Daya,62.16,62.38
Buru Selatan,66.13,66.27
Kota Ambon,70.35,70.52
Kota Tual,65.21,65.47
MALUKU UTARA,68.18,68.33
Halmahera Barat,66.13,66.25
Halmahera Tengah,63.65,63.91
Kepulauan Sula,63.18,63.3
Halmahera Selatan,65.75,65.86
Halmahera Utara,69.47,69.56
Halmahera Timur,68.64,68.88
Pulau Morotai,66.99,67.18
Pulau Taliabu,61.95,62.1
Kota Ternate,70.85,70.97
Kota Tidore Kepulauan,69.22,69.34
PAPUA BARAT,65.9,66.02
Fakfak,68.41,68.47
Kaimana,64.64,64.81
Teluk Wondama,59.93,60.1
Teluk Bintuni,60.6,60.83
Manokwari,68.56,68.68
Sorong Selatan,66.15,66.25
Sorong,66.02,66.1
Raja Ampat,64.7,64.74
Tambrauw,59.96,60.13
Maybrat,65.17,65.19
Manokwari Selatan,67.48,67.58
Pegunungan Arfak,67.18,67.24
Kota Sorong,70.46,70.7
PAPUA,65.65,65.79
Merauke,66.93,67
Jayawijaya,59.39,59.64
Jayapura,66.93,67.05
Nabire,67.97,68.06
Kepulauan Yapen,69.06,69.12
Biak Numfor,68.2,68.25
Paniai,66.27,66.44
Puncak Jaya,64.98,65.15
Mimika,72.27,72.32
Boven Digoel,59.64,59.97
Mappi,64.91,65.11
Asmat,57.53,58.05
Yahukimo,65.8,65.93
Pegunungan Bintang,64.34,64.44
Tolikara,65.58,65.71
Sarmi,66.26,66.36
Keerom,66.6,66.69
Waropen,66.24,66.33
Supiori,65.81,65.94
Mamberamo Raya,57.55,57.77
Nduga,55.12,55.27
Lanny Jaya,66,66.06
Mamberamo Tengah,63.44,63.59
Yalimo,65.34,65.42
Puncak,65.61,65.74
Dogiyai,65.6,65.73
Intan Jaya,65.51,65.6
Deiyai,65.11,65.24
Kota Jayapura,70.38,70.45
INDONESIA,71.34,71.47
